"StationID" "day_of_week" "time_of_day" "meanHeadway" "SDHeadway" "Flow_rate"
"110" 70003 1 20 388.337078651685 124.610114121482 0.0614822780730786
"111" 70003 1 21 429.621951219512 117.692174367104 0.0475627611371561
"112" 70003 1 22 514.301369863014 108.29764603622 0.037680321102212
"113" 70003 1 23 476.535211267606 81.4724898330571 0.0298475662735632
"114" 70003 1 24 521.985507246377 76.9674287019446 0.0317894150681809
"115" 70003 1 25 512.542857142857 79.2559028504878 0.0282214398216239
"116" 70003 1 26 507.65671641791 59.2584355940547 0.0282700705915417
"117" 70003 1 27 527.763888888889 94.0510040014333 0.0346954746667655
"118" 70003 1 28 510.396825396825 124.6492549675 0.0248087876421507
"119" 70003 1 29 478.658227848101 74.2954749072311 0.0300560885138963
"120" 70003 1 30 463.890625 144.126280298282 0.0541838319260967
"121" 70003 1 31 405.240963855422 150.345584859897 0.0360013551715815
"122" 70003 1 32 373.988764044944 86.8050970411225 0.0307732905123125
"123" 70003 1 33 379.563218390805 113.247999227608 0.0357885801339025
"124" 70003 1 34 380.701149425287 99.0913502599388 0.0328008779111827
"125" 70003 1 35 378.223404255319 82.2007971935441 0.0382476078830511
"126" 70003 1 36 391.222222222222 106.216312864841 0.0349549085498309
"127" 70003 1 37 367.806818181818 118.644049693572 0.0297149072053795
"128" 70003 1 38 376.795918367347 92.5173663479027 0.0241704084029505
"129" 70003 1 39 528.905405405405 144.841544872548 0.0190061575233899
"130" 70003 1 40 575.378787878788 141.563333491683 0.0129698788723617
"131" 70003 1 41 587.230769230769 109.374038457312 0.00952147613515627
"132" 70003 1 42 605.215384615385 83.685514783715 0.00954832290587579
"133" 70003 1 43 593.878787878788 104.38221409822 0.00751888017327748
"134" 70003 1 44 605.777777777778 96.5732956551228 0.00542974523878981
"135" 70003 1 45 603.030769230769 103.371443292921 0.008567862544909
"136" 70003 1 46 585.84126984127 88.1379429020593 0.00590030455223138
"137" 70003 1 47 623.258064516129 137.322515613985 0.00393613721875914
"138" 70003 1 48 745.581395348837 199.575887530836 0.00254465110339654
"139" 70003 3 1 1052.55 158.508998582348 0.00129668637226971
"140" 70003 3 2 1042.9375 173.429512578838 0.000487190705128205
"141" 70003 3 3 1217.88888888889 30.5918471346715 NA
"142" 70003 3 4 937.777777777778 75.8712359491029 NA
"143" 70003 3 5 NA NA NA
"144" 70003 3 6 NA NA NA
"145" 70003 3 7 NA NA NA
"146" 70003 3 10 NA NA NA
"147" 70003 3 11 992 352.139177030901 NA
"148" 70003 3 12 626.333333333333 57.0013290647816 NA
"149" 70003 3 13 742.681818181818 285.283716151656 0.00964342343359863
"150" 70003 3 14 655.423076923077 115.23130584244 0.00466937553572516
"151" 70003 3 15 675.041666666667 115.501356727084 0.00510384400018025
"152" 70003 3 16 689.107142857143 92.8165611362758 0.00713693539755352
"153" 70003 3 17 671 97.4979289720872 0.00977314551714048
"154" 70003 3 18 646.307692307692 111.105992360725 0.0122583842636938
"155" 70003 3 19 666.931034482759 93.5047481737397 0.0179846825312189
"156" 70003 3 20 640.304347826087 61.6031542747674 0.024033740124616
"157" 70003 3 21 653.857142857143 78.6604113735767 0.0235351863885819
"158" 70003 3 22 634.551724137931 112.708405760458 0.0298470243184003
"159" 70003 3 23 596.4 103.178243830761 0.0278567307882783
"160" 70003 3 24 649.6 108.254330167435 0.0232208179630438
"161" 70003 3 25 619.133333333333 87.1007079955917 0.0303269459852388
"162" 70003 3 26 571.161290322581 94.6115203606106 0.0319852978909225
"163" 70003 3 27 554.56 111.737818127973 0.0255396961223951
"164" 70003 3 28 594.714285714286 92.6395835319589 0.0294729587171934
"165" 70003 3 29 576.033333333333 87.4550064943085 0.025535308358045
"166" 70003 3 30 599.636363636364 99.958059386743 0.0254291875688273
"167" 70003 3 31 578.703703703704 113.082956212486 0.0237819539214096
"168" 70003 3 32 585.633333333333 93.956513541008 0.0204042138341417
"169" 70003 3 33 580.714285714286 89.2687849496483 0.0202441047185476
"170" 70003 3 34 565.111111111111 84.9797864351523 0.0145985484878207
"171" 70003 3 35 574.51724137931 76.8828518357894 0.0210957066346463
"172" 70003 3 36 613.379310344828 161.642995914079 0.0163715701093817
"173" 70003 3 37 638.448275862069 162.450560876422 0.0153011713108021
"174" 70003 3 38 604.357142857143 82.3129593710692 0.0132315887286434
"175" 70003 3 39 653.653846153846 243.893081871166 0.0111947867901859
"176" 70003 3 40 646.461538461538 130.29911151477 0.00901483123747493
"177" 70003 3 41 647.038461538462 81.6124896173279 0.0104085553352819
"178" 70003 3 42 646.130434782609 78.3240961110982 0.00515502805239601
"179" 70003 3 43 683.086956521739 69.0071887187245 0.0074387487825002
"180" 70003 3 44 663.84 99.9823651117202 0.00533352447037911
"181" 70003 3 45 662.086956521739 113.258719529258 0.00572935984274825
"182" 70003 3 46 683.3 110.767703824383 0.00502351429968701
"183" 70003 3 47 690.444444444444 95.3335574679094 0.00376337167874396
"184" 70003 3 48 786.444444444444 127.501428929581 0.00200905410180712
"185" 70004 1 1 700.541666666667 254.099909847283 0.00022740012599964
"186" 70004 1 2 949.85 288.422437808814 0.000288911108349214
"187" 70004 1 3 592.5 163.514525348667 8.7523850612859e-05
"188" 70004 1 4 411 117.379725676967 9.92681977078632e-05
"189" 70004 1 5 NA NA 7.94718171296296e-05
"190" 70004 1 6 NA NA 8.38287037037037e-05
"191" 70004 1 7 NA NA NA
"192" 70004 1 10 NA NA NA
"193" 70004 1 11 NA NA NA
"194" 70004 1 12 734.95 147.292574937024 0.00114409047642594
"195" 70004 1 13 748.882352941176 202.910783060815 0.00270465649713317
"196" 70004 1 14 430.097222222222 206.051146373304 0.00489979478536778
"197" 70004 1 15 348.56 155.159762564886 0.00653564585416809
"198" 70004 1 16 451.09756097561 235.982402030431 0.00490449184195283
"199" 70004 1 17 360.584269662921 200.097806141077 0.00508736413765964
"200" 70004 1 18 391.9625 195.824220050095 0.00393378729121382
"201" 70004 1 19 371.239583333333 189.130016254019 0.00312006912600417
"202" 70004 1 20 365.244680851064 198.108620481383 0.00278434786492566
"203" 70004 1 21 391.931034482759 198.337027767891 0.00275628703423156
"204" 70004 1 22 405.373626373626 199.448999237157 0.0019150650209553
"205" 70004 1 23 483.35 176.224044681907 0.00265507695090627
"206" 70004 1 24 517.409090909091 154.608585419163 0.00247471910006372
"207" 70004 1 25 520 217.459078229044 0.00236221127816942
"208" 70004 1 26 494.138888888889 155.041412510059 0.00241183712199669
"209" 70004 1 27 543.791044776119 165.541950859432 0.00331043112935424
"210" 70004 1 28 475.602739726027 194.631684908104 0.00305296176519458
"211" 70004 1 29 532.375 161.401451577824 0.00313140252703842
"212" 70004 1 30 413.101265822785 239.719686457538 0.00384732889426277
"213" 70004 1 31 426.756097560976 224.739331087528 0.00404317809155199
"214" 70004 1 32 487.675324675325 225.319331380251 0.00445567967816257
"215" 70004 1 33 421.132530120482 223.347851365027 0.00453055298260536
"216" 70004 1 34 384.204819277108 208.005848829361 0.0036496801209314
"217" 70004 1 35 419.717391304348 232.250543291192 0.00683332242407521
"218" 70004 1 36 354.591397849462 217.828674029721 0.00390524030489218
"219" 70004 1 37 341.577319587629 178.809479326201 0.00441145167363043
"220" 70004 1 38 418.333333333333 212.918549619167 0.00513201487701631
"221" 70004 1 39 455.141025641026 225.045491756608 0.00344167984122902
"222" 70004 1 40 488.764705882353 225.520103194124 0.00296665154272483
"223" 70004 1 41 547.118421052632 200.127823626485 0.00226523212378225
"224" 70004 1 42 609.967213114754 173.565066302056 0.00214300828767349
"225" 70004 1 43 572.471428571429 164.441850999824 0.00168009486414582
"226" 70004 1 44 627.387096774194 169.08377541759 0.00142104718556282
"227" 70004 1 45 601.016129032258 205.827836057821 0.00125578619470328
"228" 70004 1 46 600.030769230769 221.203029564384 0.000950269391337556
"229" 70004 1 47 628.15873015873 223.986621601439 0.000698560445086175
"230" 70004 1 48 596.318181818182 208.136431519987 0.000510060387931035
"231" 70004 3 1 695.363636363636 301.651414313899 0.000249595238095238
"232" 70004 3 2 920.45 252.664427963049 0.000218395833333333
"233" 70004 3 3 1214.88235294118 191.580558236262 7.27986111111111e-05
"234" 70004 3 4 1015 190.207781123696 NA
"235" 70004 3 5 NA NA NA
"236" 70004 3 6 NA NA NA
"237" 70004 3 7 NA NA NA
"238" 70004 3 10 NA NA NA
"239" 70004 3 11 NA NA NA
"240" 70004 3 12 517 150.698374244714 NA
"241" 70004 3 13 600.5625 148.940690097323 NA
