"StationID","day_of_week","time_of_day","meanHeadway","SDHeadway","Flow_rate"
70234,1,43,555.746478873239,205.419481501346,0.00104651589436027
70234,1,44,567.71875,283.786834194091,0.000333831168831169
70234,1,45,579.704225352113,253.833882370014,0.000497450170454545
70234,1,46,590.333333333333,231.613691220498,0.000386061837121212
70234,1,47,603.475409836066,242.882454873229,0.00019877379349046
70234,1,48,701.777777777778,301.073529956141,0.000132037863933452
70234,3,1,808.133333333333,232.371582558953,0.000278470833333333
70234,3,2,1236.30769230769,50.8041740663511,NA
70234,3,3,NA,NA,NA
70234,3,4,NA,NA,NA
70234,3,5,NA,NA,NA
70234,3,6,NA,NA,NA
70234,3,7,NA,NA,NA
70234,3,10,900.75,76.4040792977269,NA
70234,3,11,828.875,231.766161402886,NA
70234,3,12,865.739130434783,321.662615087088,0.000139235416666667
70234,3,13,637.826086956522,123.78414209418,0.000139235416666667
70234,3,14,633.259259259259,258.39185992665,0.000556941666666667
70234,3,15,747,279.664799358089,0.00114040436507936
70234,3,16,648.181818181818,306.689953002584,0.000232059027777778
70234,3,17,586.758620689655,135.881948546842,0.00175333487654321
70234,3,18,610.6875,296.211284390045,0.00405366169934641
70234,3,19,528.0625,217.606323659893,0.00285502925084175
70234,3,20,527.382352941176,222.404765414647,0.00258977875
70234,3,21,543.029411764706,198.39713544091,0.00360023005952381
70234,3,22,589.625,212.96202145135,0.003207984
70234,3,23,640.571428571429,263.135569701871,0.00275657996632997
70234,3,24,547.258064516129,193.232669381057,0.00267332
70234,3,25,576.59375,256.923970098725,0.0027581873015873
70234,3,26,538.321428571429,220.899013892376,0.00402711666666667
70234,3,27,530.823529411765,234.382421332296,0.00346179831048581
70234,3,28,602.068965517241,267.626062556706,0.00338084219135802
70234,3,29,561.722222222222,189.409399542157,0.00290791674930962
70234,3,30,510.542857142857,167.240464927731,0.00344994421296296
70234,3,31,574.612903225806,244.957231290057,0.00208651334541063
70234,3,32,559.166666666667,163.535735488025,0.00224014314814815
70234,3,33,512.69696969697,194.197947473783,0.00312682964285714
70234,3,34,555.694444444444,179.490201792974,0.00146396095238095
